4,2,2,3,6,3,5,9,11,50
4,2,2,3,6,3,5,9,11,50
4,6,6,6,6,6,8,9,20,25
5,4,4,5,5,8,5,10,12,37
7,5,6,6,7,5,12,11,13,25
5,5,5,4,6,6,11,16,15,21
5,4,5,4,6,9,8,13,14,27
3,6,7,9,9,10,12,9,12,18
6,6,6,6,8,6,10,9,14,24
3,3,4,4,3,6,5,11,15,41
2,4,4,5,6,7,9,16,13,29
11,6,4,4,3,5,10,5,6,42
3,3,3,4,5,5,6,13,12,41
4,4,12,3,3,5,5,8,8,44
9,6,6,7,8,6,6,9,15,24
4,5,6,7,9,8,13,14,14,15
3,4,4,5,5,6,7,12,19,30
2,5,7,7,10,11,10,8,12,22
4,4,4,3,5,5,8,7,22,34
2,7,5,8,4,22,9,6,16,16
4,4,4,4,6,13,12,9,13,28
4,2,2,4,4,4,5,5,8,56
5,4,6,11,9,11,9,11,8,21
3,3,3,3,4,6,3,7,12,51
4,4,3,3,4,4,7,16,17,34
3,4,3,4,11,5,10,8,19,28
6,6,8,8,7,16,10,8,8,18
5,4,4,5,6,6,8,12,19,27
5,5,6,8,5,7,8,10,12,30
5,8,7,8,7,10,10,12,12,16
4,4,5,6,3,10,10,16,17,21
5,5,7,5,8,6,7,12,20,21
2,3,4,4,4,6,5,9,14,44
5,8,4,6,5,6,8,16,16,20
4,4,5,8,8,8,12,10,12,25
5,4,3,4,5,6,6,10,7,44
4,3,3,6,7,7,12,21,14,19
4,3,6,6,8,9,7,17,12,22
4,5,5,5,6,6,8,10,19,28
2,4,4,5,5,6,6,14,20,29
2,3,3,4,6,6,10,14,23,24
3,6,6,6,9,5,19,14,13,13
3,4,5,3,5,5,9,11,22,28
2,5,3,4,4,6,12,21,21,19
7,5,6,8,6,5,8,10,16,25
4,4,4,6,5,7,6,17,14,28
5,2,3,3,4,3,9,14,18,32
2,5,5,5,5,8,8,12,23,20
2,3,4,5,13,10,12,20,10,15
6,6,5,7,7,8,16,15,13,12
5,4,3,5,5,6,7,16,16,27
4,5,5,5,6,6,8,7,13,36
3,3,5,4,5,4,6,7,13,45
6,10,8,8,8,8,8,11,9,18
4,3,5,4,7,14,10,13,15,21
8,7,7,4,8,9,9,11,13,20
5,4,5,6,6,6,7,13,11,33
2,3,4,5,6,7,13,13,17,25
4,7,8,10,9,8,8,12,14,15
4,3,5,4,6,7,4,7,21,33
3,6,9,7,9,12,9,10,13,16
6,3,4,7,8,8,10,14,13,22
4,4,5,3,5,5,7,6,7,50
3,4,4,6,5,5,7,8,18,35
2,3,3,3,4,9,11,11,12,36
9,10,17,9,11,19,20
8,8,9,7,8,9,9,7,13,16
4,4,3,5,6,8,16,15,14,20
4,5,7,5,7,9,9,11,13,23
2,3,3,6,5,9,9,11,23,24
2,2,2,2,3,5,6,8,30,34
4,7,6,5,5,4,5,6,24,28
5,4,6,7,12,6,11,12,13,18
3,6,6,9,9,9,6,10,15,23
4,4,4,4,4,6,6,5,9,48
8,5,6,7,6,16,12,14,22
8,8,6,7,6,5,7,8,12,28
3,4,4,3,3,5,8,8,13,44
1,4,4,5,5,9,7,11,11,37
3,5,5,8,8,11,10,12,13,20
10,11,15,4,12,17,5,6,9,6
5,4,5,5,6,5,6,9,19,30
4,4,4,4,4,4,8,17,15,30
3,6,5,5,5,5,5,8,9,43
6,6,6,9,8,9,10,13,13,15
4,5,5,6,7,7,7,11,15,28
3,4,6,7,8,8,8,13,13,26
4,4,4,3,4,3,5,9,16,42
4,6,5,8,9,7,8,11,9,29
6,5,5,7,7,9,10,11,13,23
5,5,5,5,8,9,10,15,13,21
9,5,9,9,10,6,5,8,10,24
3,4,7,8,10,9,6,14,14,19
4,4,5,5,6,6,7,10,12,38
3,3,3,4,4,6,8,13,25,26
4,4,6,7,8,9,9,14,16,18
13,9,7,8,9,9,9,6,11,14
3,3,3,3,4,5,4,7,9,53
6,5,16,6,6,21,12,7,7,9
3,3,4,3,6,3,7,11,13,41
3,4,4,4,3,4,5,8,10,50
